Cell_Designation,Time_Point,Polarity_Patch_Number,Polarity_Patch_Number_2
rcc096_1_s1_j,35,NA,Birth
rcc096_1_s1_j,36,NA,Birth
rcc096_1_s1_j,37,NA,Birth
rcc096_1_s1_j,38,0,0
rcc096_1_s1_j,39,0,0
rcc096_1_s1_j,40,0,0
rcc096_1_s1_j,41,0,0
rcc096_1_s1_j,42,0,0
rcc096_1_s1_j,43,0,0
rcc096_1_s1_j,44,0,0
rcc096_1_s1_j,45,0,0
rcc096_1_s1_j,46,0,0
rcc096_1_s1_j,47,0,0
rcc096_1_s1_j,48,0,0
rcc096_1_s1_j,49,0,0
rcc096_1_s1_j,50,0,0
rcc096_1_s1_j,51,0,0
rcc096_1_s1_j,52,0,0
rcc096_1_s1_j,53,0,0
rcc096_1_s1_j,54,0,0
rcc096_1_s1_j,55,0,0
rcc096_1_s1_j,56,0,0
rcc096_1_s1_j,57,0,0
rcc096_1_s1_j,58,0,0
rcc096_1_s1_j,59,0,0
rcc096_1_s1_j,60,0,0
rcc096_1_s1_j,61,0,0
rcc096_1_s1_k,1,1,1
rcc096_1_s1_k,2,1,1
rcc096_1_s1_k,3,1,1
rcc096_1_s1_k,4,0,0
rcc096_1_s1_k,5,2,2
rcc096_1_s1_k,6,1,1
rcc096_1_s1_k,7,1,1
rcc096_1_s1_k,8,2,2
rcc096_1_s1_k,9,1,1
rcc096_1_s1_k,10,2,2
rcc096_1_s1_k,11,1,1
rcc096_1_s1_k,12,1,1
rcc096_1_s1_k,13,1,1
rcc096_1_s1_k,14,1,1
rcc096_1_s1_k,15,1,1
rcc096_1_s1_k,16,1,1
rcc096_1_s1_k,17,1,1
rcc096_1_s1_k,18,1,1
rcc096_1_s1_k,19,2,2
rcc096_1_s1_k,20,1,1
rcc096_1_s1_k,21,1,1
rcc096_1_s1_k,22,1,1
rcc096_1_s1_k,23,1,1
rcc096_1_s1_k,24,1,1
rcc096_1_s1_k,25,1,1
rcc096_1_s1_k,26,1,1
rcc096_1_s1_k,27,1,1
rcc096_1_s1_k,28,1,1
rcc096_1_s1_k,29,1,1
rcc096_1_s1_k,30,1,1
rcc096_1_s1_k,31,1,1
rcc096_1_s1_k,32,1,1
rcc096_1_s1_k,33,1,1
rcc096_1_s1_k,34,2,2
